source_id,number,ocel timestamp,ocel activity,weight,price,weight_y,price_y
103.0,['990014'],2019-05-22 17:38:56,pick item,,,1.37,2500.0
104.0,['990022'],2019-05-22 17:49:37,place order,,,3.102,3802.99
105.0,['990023'],2019-05-22 20:08:26,place order,,,2.76,354.98
106.0,['990024'],2019-05-22 22:56:27,place order,,,2.432,983.98
107.0,['990019'],2019-05-23 08:42:25,pick item,,,0.166,799.0
108.0,['990017'],2019-05-23 08:44:21,pick item,,,0.166,799.0
109.0,['990014'],2019-05-23 09:09:23,confirm order,,,3.696,3239.97
110.0,['990016'],2019-05-23 09:26:37,item out of stock,,,0.188,1149.0
111.0,['990025'],2019-05-23 09:44:29,place order,,,5.172999999999999,3773.96
112.0,['990022'],2019-05-23 10:03:08,pick item,,,0.172,699.0
113.0,['990012'],2019-05-23 10:19:26,item out of stock,,,0.495,129.0
114.0,['990012'],2019-05-23 10:27:00,reorder item,,,0.495,129.0
115.0,['990023'],2019-05-23 10:29:24,item out of stock,,,1.28,149.99
116.0,['990001'],2019-05-23 10:40:50,item out of stock,,,0.98,129.99
117.0,['990011'],2019-05-23 10:45:43,pick item,,,0.21,529.0
118.0,['990025'],2019-05-23 10:52:26,pick item,,,0.483,1099.0
119.0,['990015'],2019-05-23 10:53:08,pick item,,,0.483,79.99
120.0,['990001'],2019-05-23 11:00:25,pick item,,,0.78,99.99
121.0,['990011',2019-05-23 11:00:25,create package,,,7.211,8169.95
121.0, '990002',2019-05-23 11:00:25,create package,,,7.211,8169.95
121.0, '990013',2019-05-23 11:00:25,create package,,,7.211,8169.95
121.0, '990012',2019-05-23 11:00:25,create package,,,7.211,8169.95
121.0, '990009'],2019-05-23 11:00:25,create package,,,7.211,8169.95
122.0,['990022'],2019-05-23 11:07:19,item out of stock,,,0.28,449.0
123.0,['990015'],2019-05-23 11:08:24,item out of stock,,,0.44,476.0
124.0,['990022'],2019-05-23 11:23:05,confirm order,,,3.102,3802.99
125.0,['990001'],2019-05-23 11:27:55,pay order,,,3.52,524.96
126.0,['990026'],2019-05-23 11:48:45,place order,,,2.583,2729.98
127.0,['990026'],2019-05-23 11:55:58,pick item,,,0.88,89.99
128.0,['990024'],2019-05-23 11:57:31,pick item,,,0.98,129.99
129.0,['990016'],2019-05-23 11:58:56,confirm order,,,1.081,2217.99
130.0,['990013'],2019-05-23 12:09:19,reorder item,,,0.188,1149.0
131.0,['990022'],2019-05-23 12:13:24,reorder item,,,0.28,449.0
132.0,['990025'],2019-05-23 12:15:16,pick item,,,1.48,199.99
133.0,['990015'],2019-05-23 12:33:06,reorder item,,,0.44,476.0
134.0,['990014'],2019-05-23 12:53:00,pick item,,,0.483,79.99
135.0,['990024'],2019-05-23 12:55:00,confirm order,,,2.432,983.98
136.0,['990020'],2019-05-23 13:04:43,confirm order,,,3.48,4534.99
137.0,['990020'],2019-05-23 13:32:53,pick item,,,0.98,129.99
138.0,['990011'],2019-05-23 13:39:57,pick item,,,0.28,89.99
139.0,['990027'],2019-05-23 13:57:18,place order,,,1.263,184.98
140.0,['990011',2019-05-23 14:22:59,send package,,,7.211,8169.95
140.0, '990002',2019-05-23 14:22:59,send package,,,7.211,8169.95
140.0, '990013',2019-05-23 14:22:59,send package,,,7.211,8169.95
140.0, '990012',2019-05-23 14:22:59,send package,,,7.211,8169.95
140.0, '990009'],2019-05-23 14:22:59,send package,,,7.211,8169.95
141.0,['990011'],2019-05-23 14:24:31,pay order,,,1.942,1472.98
142.0,['990011',2019-05-23 14:48:41,failed delivery,,,7.211,8169.95
142.0, '990002',2019-05-23 14:48:41,failed delivery,,,7.211,8169.95
142.0, '990013',2019-05-23 14:48:41,failed delivery,,,7.211,8169.95
142.0, '990012',2019-05-23 14:48:41,failed delivery,,,7.211,8169.95
142.0, '990009'],2019-05-23 14:48:41,failed delivery,,,7.211,8169.95
143.0,['990026'],2019-05-23 14:49:52,pick item,,,0.495,129.0
144.0,['990027'],2019-05-23 14:58:15,pick item,,,0.483,79.99
145.0,['990025'],2019-05-23 15:00:45,pick item,,,1.25,2200.0
146.0,['990018'],2019-05-23 15:19:51,pay order,,,1.97,823.98
147.0,['990018'],2019-05-23 15:28:01,reorder item,,,0.21,529.0
148.0,['990016'],2019-05-23 15:34:32,pick item,,,0.483,495.0
149.0,['990024'],2019-05-23 15:38:19,item out of stock,,,1.28,149.99
150.0,['990009'],2019-05-23 16:07:14,pick item,,,0.98,129.99
151.0,['990020'],2019-05-23 16:07:36,item out of stock,,,1.25,2200.0
152.0,['990028'],2019-05-23 16:14:23,place order,,,0.973,1062.99
153.0,['990019'],2019-05-23 16:16:20,pick item,,,0.28,89.99
154.0,['990027'],2019-05-23 16:27:55,confirm order,,,1.263,184.98
155.0,['990026'],2019-05-23 16:36:27,pick item,,,0.172,699.0
156.0,['990018'],2019-05-23 16:46:01,pick item,,,1.48,199.99
157.0,['990024'],2019-05-23 16:56:29,reorder item,,,1.28,149.99
158.0,['990021'],2019-05-23 17:01:33,pick item,,,0.188,1149.0
159.0,['990012'],2019-05-23 17:26:26,pick item,,,0.483,495.0
160.0,['990025',2019-05-23 17:26:26,create package,,,4.273,3688.97
160.0, '990001'],2019-05-23 17:26:26,create package,,,4.273,3688.97
161.0,['990025',2019-05-23 17:43:12,send package,,,4.273,3688.97
161.0, '990001'],2019-05-23 17:43:12,send package,,,4.273,3688.97
162.0,['990029'],2019-05-23 17:48:34,place order,,,0.634,2042.99
163.0,['990009'],2019-05-23 18:54:48,reorder item,,,0.495,129.0
164.0,['990011',2019-05-23 19:14:00,package delivered,,,7.211,8169.95
164.0, '990002',2019-05-23 19:14:00,package delivered,,,7.211,8169.95
164.0, '990013',2019-05-23 19:14:00,package delivered,,,7.211,8169.95
164.0, '990012',2019-05-23 19:14:00,package delivered,,,7.211,8169.95
164.0, '990009'],2019-05-23 19:14:00,package delivered,,,7.211,8169.95
165.0,['990025'],2019-05-23 19:15:44,pick item,,,0.78,99.99
166.0,['990030'],2019-05-23 20:05:16,place order,,,3.86,940.96
167.0,['990021'],2019-05-23 22:00:00,confirm order,,,2.651,2535.99
168.0,['990031'],2019-05-23 22:50:07,place order,,,0.38,34.99
169.0,['990028'],2019-05-24 08:27:33,confirm order,,,0.973,1062.99
170.0,['990020'],2019-05-24 09:21:25,reorder item,,,1.25,2200.0
171.0,['990032'],2019-05-24 09:31:49,place order,,,2.329,1768.98
172.0,['990030'],2019-05-24 09:32:57,pick item,,,0.44,476.0
173.0,['990030'],2019-05-24 09:35:41,confirm order,,,3.86,940.96
174.0,['990014'],2019-05-24 09:37:42,pay order,,,3.696,3239.97
175.0,['990021'],2019-05-24 09:41:01,pick item,,,0.21,529.0
176.0,['990024'],2019-05-24 10:09:07,pick item,,,0.172,699.0
177.0,['990017'],2019-05-24 10:49:32,pick item,,,0.28,89.99
178.0,['990007',2019-05-24 10:49:32,create package,,,7.401,3148.95
178.0, '990026',2019-05-24 10:49:32,create package,,,7.401,3148.95
178.0, '990004',2019-05-24 10:49:32,create package,,,7.401,3148.95
178.0, '990017'],2019-05-24 10:49:32,create package,,,7.401,3148.95
179.0,['990026'],2019-05-24 10:55:36,item out of stock,,,0.28,449.0
180.0,['990023'],2019-05-24 11:05:13,pick item,,,1.48,199.99
181.0,['990033'],2019-05-24 11:23:25,place order,,,1.422,2904.0
182.0,['990033'],2019-05-24 11:38:57,pick item,,,0.172,699.0
183.0,['990033'],2019-05-24 11:59:26,confirm order,,,1.422,2904.0
184.0,['990013'],2019-05-24 12:01:37,reorder item,,,1.48,199.99
185.0,['990029'],2019-05-24 12:12:36,item out of stock,,,0.188,1149.0
186.0,['990025'],2019-05-24 12:33:21,item out of stock,,,0.2,39.99
187.0,['990031'],2019-05-24 12:33:34,confirm order,,,0.38,34.99
188.0,['990033'],2019-05-24 12:41:02,pick item,,,1.25,2200.0
189.0,['990026'],2019-05-24 13:02:38,pick item,,,0.166,799.0
190.0,['990034'],2019-05-24 13:06:38,place order,,,3.011,4052.98
191.0,['990022'],2019-05-24 13:23:15,pick item,,,1.28,149.99
192.0,['990032'],2019-05-24 13:40:11,confirm order,,,2.329,1768.98
193.0,['990032'],2019-05-24 13:58:11,pick item,,,0.88,89.99
194.0,['990028'],2019-05-24 13:58:15,pick item,,,0.28,449.0
195.0,['990018'],2019-05-24 14:07:48,pick item,,,0.21,529.0
196.0,['990020'],2019-05-24 14:22:07,pick item,,,1.25,2200.0
197.0,['990035'],2019-05-24 14:33:03,place order,,,3.523,1902.98
198.0,['990021'],2019-05-24 14:39:58,item out of stock,,,0.483,495.0
199.0,['990030'],2019-05-24 14:54:46,pick item,,,1.28,149.99
200.0,['990023'],2019-05-24 14:55:25,confirm order,,,2.76,354.98
201.0,['990030'],2019-05-24 15:17:53,item out of stock,,,0.98,129.99
202.0,['990034'],2019-05-24 15:37:55,pick item,,,0.21,529.0
203.0,['990015'],2019-05-24 15:49:44,pick item,,,0.44,476.0
204.0,['990028',2019-05-24 15:49:44,create package,,,4.755,4659.96
204.0, '990019',2019-05-24 15:49:44,create package,,,4.755,4659.96
204.0, '990003',2019-05-24 15:49:44,create package,,,4.755,4659.96
204.0, '990008'],2019-05-24 15:49:44,create package,,,4.755,4659.96
205.0,['990034'],2019-05-24 15:52:26,item out of stock,,,1.25,2200.0
206.0,['990025',2019-05-24 15:54:44,package delivered,,,4.273,3688.97
206.0, '990001'],2019-05-24 15:54:44,package delivered,,,4.273,3688.97
207.0,['990025'],2019-05-24 15:56:27,reorder item,,,0.2,39.99
208.0,['990026'],2019-05-24 15:56:31,reorder item,,,0.28,449.0
209.0,['990036'],2019-05-24 16:25:54,place order,,,2.969,1639.96
210.0,['990026'],2019-05-24 16:32:09,confirm order,,,2.583,2729.98
211.0,['990032'],2019-05-24 16:43:54,item out of stock,,,0.483,79.99
212.0,['990025'],2019-05-24 17:01:23,confirm order,,,5.172999999999999,3773.96
213.0,['990033'],2019-05-24 17:07:14,pay order,,,1.422,2904.0
214.0,['990034'],2019-05-24 17:21:57,confirm order,,,3.011,4052.98
215.0,['990026'],2019-05-24 17:25:09,pick item,,,0.38,29.99
216.0,['990003'],2019-05-24 17:26:40,pick item,,,0.44,476.0
217.0,['990026'],2019-05-24 17:39:53,pick item,,,0.21,529.0
218.0,['990021'],2019-05-24 17:48:27,reorder item,,,0.483,495.0
219.0,['990037'],2019-05-24 18:11:35,place order,,,1.37,2505.0
220.0,['990028'],2019-05-24 18:15:43,pick item,,,0.483,79.99
221.0,['990036'],2019-05-24 18:41:54,pick item,,,0.44,476.0
222.0,['990037'],2019-05-24 20:04:02,confirm order,,,1.37,2505.0
223.0,['990038'],2019-05-24 20:14:20,place order,,,0.2,44.99
224.0,['990036'],2019-05-24 20:19:52,confirm order,,,2.969,1639.96
225.0,['990035'],2019-05-24 22:21:22,item out of stock,,,0.28,449.0
226.0,['990039'],2019-05-24 23:08:15,place order,,,1.28,154.99
227.0,['990016',2019-05-25 01:00:00,create package,,,2.325,1982.97
227.0, '990006'],2019-05-25 01:00:00,create package,,,2.325,1982.97
228.0,['990040'],2019-05-25 21:24:33,place order,,,0.6829999999999999,539.99
229.0,['990041'],2019-05-26 21:36:54,place order,,,2.724,2836.97
230.0,['990039'],2019-05-27 08:38:54,confirm order,,,1.28,154.99
231.0,['990036'],2019-05-27 08:50:47,pick item,,,0.166,799.0
232.0,['990035'],2019-05-27 08:56:35,reorder item,,,0.28,449.0
233.0,['990023'],2019-05-27 09:22:27,pay order,,,2.76,354.98
234.0,['990042'],2019-05-27 09:30:58,place order,,,5.922999999999999,6397.98
235.0,['990012'],2019-05-27 09:35:00,reorder item,,,0.495,129.0
236.0,['990038'],2019-05-27 09:35:18,pick item,,,0.2,39.99
237.0,['990042'],2019-05-27 09:46:50,pick item,,,0.483,495.0
238.0,['990028',2019-05-27 09:50:01,send package,,,4.755,4659.96
238.0, '990019',2019-05-27 09:50:01,send package,,,4.755,4659.96
238.0, '990003',2019-05-27 09:50:01,send package,,,4.755,4659.96
238.0, '990008'],2019-05-27 09:50:01,send package,,,4.755,4659.96
239.0,['990007'],2019-05-27 09:53:59,pick item,,,0.38,29.99
240.0,['990042'],2019-05-27 09:58:28,pick item,,,1.25,2200.0
241.0,['990032'],2019-05-27 10:09:08,item out of stock,,,0.483,1099.0
242.0,['990030'],2019-05-27 10:17:35,reorder item,,,0.98,129.99
243.0,['990021'],2019-05-27 10:25:30,pick item,,,0.495,129.0
244.0,['990030'],2019-05-27 10:29:17,pick item,,,0.28,89.99
245.0,['990008'],2019-05-27 10:33:28,pick item,,,0.28,89.99
246.0,['990007',2019-05-27 10:40:13,send package,,,7.401,3148.95
246.0, '990026',2019-05-27 10:40:13,send package,,,7.401,3148.95
246.0, '990004',2019-05-27 10:40:13,send package,,,7.401,3148.95
246.0, '990017'],2019-05-27 10:40:13,send package,,,7.401,3148.95
247.0,['990029'],2019-05-27 10:52:57,pick item,,,0.166,799.0
248.0,['990042'],2019-05-27 11:03:53,item out of stock,,,0.78,99.99
249.0,['990034'],2019-05-27 11:16:53,pick item,,,0.483,79.99
250.0,['990042'],2019-05-27 11:20:54,pick item,,,1.37,2500.0
251.0,['990043'],2019-05-27 11:21:43,place order,,,3.235,443.97
252.0,['990016'],2019-05-27 11:36:36,reorder item,,,0.188,1149.0
253.0,['990030'],2019-05-27 11:49:13,pick item,,,0.88,89.99
254.0,['990033',2019-05-27 11:49:13,create package,,,4.785,3784.96
254.0, '990010',2019-05-27 11:49:13,create package,,,4.785,3784.96
254.0, '990030'],2019-05-27 11:49:13,create package,,,4.785,3784.96
255.0,['990041'],2019-05-27 12:03:03,confirm order,,,2.724,2836.97
256.0,['990021'],2019-05-27 12:19:36,pay order,,,2.651,2535.99
257.0,['990021'],2019-05-27 12:21:13,pick item,,,0.495,129.0
258.0,['990035'],2019-05-27 12:21:51,pick item,,,1.28,149.99
259.0,['990028',2019-05-27 12:39:25,package delivered,,,4.755,4659.96
259.0, '990019',2019-05-27 12:39:25,package delivered,,,4.755,4659.96
259.0, '990003',2019-05-27 12:39:25,package delivered,,,4.755,4659.96
259.0, '990008'],2019-05-27 12:39:25,package delivered,,,4.755,4659.96
260.0,['990044'],2019-05-27 13:03:14,place order,,,5.5360000000000005,5738.97
261.0,['990034'],2019-05-27 13:12:53,pick item,,,0.88,89.99
262.0,['990042'],2019-05-27 13:34:25,reorder item,,,0.78,99.99
263.0,['990041'],2019-05-27 13:40:28,pick item,,,0.21,529.0
264.0,['990013'],2019-05-27 14:01:57,pick item,,,0.483,495.0
265.0,['990031'],2019-05-27 14:14:58,pick item,,,0.38,29.99
266.0,['990040'],2019-05-27 14:16:09,confirm order,,,0.6829999999999999,539.99
267.0,['990045'],2019-05-27 14:26:15,place order,,,2.932,1053.98
268.0,['990028'],2019-05-27 14:35:23,item out of stock,,,0.21,529.0
269.0,['990007',2019-05-27 14:56:21,failed delivery,,,7.401,3148.95
269.0, '990026',2019-05-27 14:56:21,failed delivery,,,7.401,3148.95
269.0, '990004',2019-05-27 14:56:21,failed delivery,,,7.401,3148.95
269.0, '990017'],2019-05-27 14:56:21,failed delivery,,,7.401,3148.95
270.0,['990039'],2019-05-27 15:09:10,item out of stock,,,1.28,149.99
271.0,['990016'],2019-05-27 15:11:01,pick item,,,0.188,1149.0
272.0,['990015'],2019-05-27 15:11:01,create package,,,2.345,3454.99
273.0,['990041'],2019-05-27 15:19:06,pick item,,,0.483,495.0
274.0,['990044'],2019-05-27 15:25:40,pick item,,,1.25,2200.0
275.0,['990022'],2019-05-27 15:29:21,pick item,,,0.28,449.0
276.0,['990046'],2019-05-27 16:12:18,place order,,,1.743,1223.98
277.0,['990028'],2019-05-27 16:13:44,reorder item,,,0.21,529.0
278.0,['990029'],2019-05-27 16:26:44,pick item,,,0.28,89.99
279.0,['990018',2019-05-27 16:26:44,create package,,,5.968999999999999,4143.94
279.0, '990038',2019-05-27 16:26:44,create package,,,5.968999999999999,4143.94
279.0, '990014',2019-05-27 16:26:44,create package,,,5.968999999999999,4143.94
279.0, '990027'],2019-05-27 16:26:44,create package,,,5.968999999999999,4143.94
280.0,['990043'],2019-05-27 16:28:55,pick item,,,0.98,129.99
281.0,['990045'],2019-05-27 16:50:41,confirm order,,,2.932,1053.98
282.0,['990021'],2019-05-27 17:00:36,pick item,,,0.483,495.0
283.0,['990035'],2019-05-27 17:03:48,pick item,,,0.483,1099.0
284.0,['990041'],2019-05-27 17:35:34,item out of stock,,,0.188,1149.0
285.0,['990047'],2019-05-27 17:44:23,place order,,,3.423,4960.99
286.0,['990042'],2019-05-27 17:54:51,confirm order,,,5.922999999999999,6397.98
287.0,['990001'],2019-05-27 17:54:52,reorder item,,,0.98,129.99
288.0,['990046'],2019-05-27 17:59:56,item out of stock,,,0.88,89.99
289.0,['990018',2019-05-27 18:57:39,send package,,,5.968999999999999,4143.94
289.0, '990038',2019-05-27 18:57:39,send package,,,5.968999999999999,4143.94
289.0, '990014',2019-05-27 18:57:39,send package,,,5.968999999999999,4143.94
289.0, '990027'],2019-05-27 18:57:39,send package,,,5.968999999999999,4143.94
290.0,['990048'],2019-05-27 19:52:44,place order,,,2.815,1927.97
291.0,['990016',2019-05-27 20:29:32,send package,,,2.325,1982.97
291.0, '990006'],2019-05-27 20:29:32,send package,,,2.325,1982.97
292.0,['990049'],2019-05-27 23:25:03,place order,,,3.028,1513.97
293.0,['990044'],2019-05-28 08:15:17,pick item,,,0.483,495.0
294.0,['990028'],2019-05-28 08:29:06,pick item,,,0.21,529.0
295.0,['990016'],2019-05-28 09:13:13,pay order,,,1.081,2217.99
296.0,['990040'],2019-05-28 09:17:12,pick item,,,0.483,495.0
297.0,['990050'],2019-05-28 09:21:38,place order,,,2.04,2092.98
298.0,['990036'],2019-05-28 09:26:56,pick item,,,0.2,39.99
299.0,['990046'],2019-05-28 09:35:37,reorder item,,,0.88,89.99
300.0,['990047'],2019-05-28 09:38:13,pick item,,,0.44,476.0
301.0,['990015'],2019-05-28 09:49:33,pick item,,,1.37,2500.0
302.0,['990005',2019-05-28 09:49:33,create package,,,4.026,6770.0
302.0, '990042'],2019-05-28 09:49:33,create package,,,4.026,6770.0
303.0,['990041'],2019-05-28 10:05:00,pick item,,,0.28,449.0
304.0,['990049'],2019-05-28 10:19:03,pick item,,,0.98,129.99
305.0,['990046'],2019-05-28 10:19:23,pick item,,,0.483,1099.0
306.0,['990035'],2019-05-28 10:25:46,confirm order,,,3.523,1902.98
307.0,['990023'],2019-05-28 10:47:51,reorder item,,,1.28,149.99
308.0,['990042'],2019-05-28 10:54:25,pick item,,,1.48,199.99
309.0,['990051'],2019-05-28 11:03:03,place order,,,1.66,194.98
310.0,['990015'],2019-05-28 11:03:28,send package,,,2.345,3454.99
311.0,['990022'],2019-05-28 11:12:33,pick item,,,1.37,2500.0
312.0,['990031',2019-05-28 11:12:33,create package,,,5.445,4522.97
312.0, '990040',2019-05-28 11:12:33,create package,,,5.445,4522.97
312.0, '990023',2019-05-28 11:12:33,create package,,,5.445,4522.97
312.0, '990022'],2019-05-28 11:12:33,create package,,,5.445,4522.97
313.0,['990046'],2019-05-28 11:26:38,item out of stock,,,0.38,29.99
314.0,['990035'],2019-05-28 11:34:27,pay order,,,3.523,1902.98
315.0,['990044'],2019-05-28 11:40:33,item out of stock,,,1.25,2200.0
316.0,['990044'],2019-05-28 11:41:41,item out of stock,,,0.21,529.0
317.0,['990048'],2019-05-28 11:49:20,item out of stock,,,0.2,39.99
318.0,['990043'],2019-05-28 11:50:36,confirm order,,,3.235,443.97
319.0,['990049'],2019-05-28 12:04:14,pick item,,,0.38,29.99
320.0,['990046'],2019-05-28 12:05:52,pick item,,,0.88,89.99
321.0,['990012'],2019-05-28 12:19:52,pick item,,,0.172,699.0
322.0,['990052'],2019-05-28 12:25:54,place order,,,1.628,1732.98
323.0,['990033',2019-05-28 12:29:53,send package,,,4.785,3784.96
323.0, '990010',2019-05-28 12:29:53,send package,,,4.785,3784.96
323.0, '990030'],2019-05-28 12:29:53,send package,,,4.785,3784.96
324.0,['990007',2019-05-28 12:42:06,package delivered,,,7.401,3148.95
324.0, '990026',2019-05-28 12:42:06,package delivered,,,7.401,3148.95
324.0, '990004',2019-05-28 12:42:06,package delivered,,,7.401,3148.95
